TimestampSw,TimestampHw,Raw,Filtered
1679349612372,270012817.000,17097.000,51.000
1679349612390,270032836.000,17116.000,53.000
1679349612410,270052856.000,17116.000,56.000
1679349612439,270072875.000,17124.000,58.000
1679349612452,270092895.000,17124.000,59.000
1679349612470,270112915.000,17145.000,62.000
1679349612490,270132965.000,17145.000,66.000
1679349612515,270152984.000,17110.000,62.000
1679349612531,270173004.000,17110.000,53.000
1679349612549,270192993.000,17033.000,35.000
1679349612570,270213012.000,17033.000,11.000
1679349612597,270233032.000,16988.000,-12.000
1679349612612,270253051.000,16988.000,-35.000
1679349612630,270273071.000,16987.000,-52.000
1679349612650,270293090.000,16987.000,-63.000
1679349612676,270313110.000,16993.000,-69.000
1679349612692,270333129.000,16993.000,-71.000
1679349612710,270353149.000,16988.000,-71.000
1679349612730,270373168.000,16988.000,-71.000
1679349612756,270393188.000,16999.000,-68.000
1679349612772,270413208.000,16999.000,-63.000
1679349612790,270433227.000,17009.000,-56.000
1679349612810,270453247.000,17009.000,-49.000
1679349612840,270473266.000,16999.000,-44.000
1679349612852,270493286.000,16999.000,-41.000
1679349612880,270513305.000,17008.000,-37.000
1679349612890,270533355.000,17008.000,-31.000
1679349612916,270553375.000,17015.000,-26.000
1679349612932,270573394.000,17015.000,-21.000
1679349612952,270593383.000,17026.000,-15.000
1679349612970,270613403.000,17026.000,-9.000
1679349612996,270633422.000,17043.000,-2.000
1679349613013,270653442.000,17043.000,5.000
1679349613040,270673461.000,17055.000,12.000
1679349613050,270693481.000,17055.000,18.000
1679349613080,270713500.000,17077.000,25.000
1679349613091,270733520.000,17077.000,33.000
1679349613110,270753540.000,17081.000,39.000
1679349613130,270773559.000,17081.000,42.000
1679349613155,270793579.000,17089.000,45.000
1679349613180,270813598.000,17089.000,47.000
1679349613200,270833618.000,17102.000,50.000
1679349613210,270853637.000,17102.000,52.000
1679349613236,270873657.000,17111.000,54.000
1679349613252,270893707.000,17111.000,56.000
1679349613270,270913726.000,17127.000,58.000
1679349613290,270933715.000,17127.000,61.000
1679349613320,270953735.000,17135.000,62.000
1679349613332,270973754.000,17135.000,63.000
1679349613350,270993774.000,17097.000,58.000
1679349613370,271013793.000,17097.000,47.000
1679349613396,271033813.000,17026.000,29.000
1679349613413,271053833.000,17026.000,5.000
1679349613430,271073852.000,17001.000,-15.000
1679349613450,271093872.000,17001.000,-33.000
1679349613480,271113891.000,17001.000,-45.000
1679349613492,271133941.000,17001.000,-54.000
1679349613515,271153961.000,17015.000,-56.000
1679349613539,271173980.000,17015.000,-55.000
1679349613560,271194000.000,17012.000,-54.000
1679349613572,271213989.000,17012.000,-52.000
1679349613590,271234008.000,17019.000,-49.000
1679349613618,271254028.000,17019.000,-45.000
1679349613640,271274047.000,17017.000,-41.000
1679349613650,271294067.000,17017.000,-37.000
1679349613680,271314086.000,17028.000,-33.000
1679349613700,271334106.000,17028.000,-27.000
1679349613714,271354125.000,17030.000,-22.000
1679349613731,271374145.000,17030.000,-18.000
1679349613760,271394165.000,17041.000,-13.000
1679349613780,271414184.000,17041.000,-7.000
1679349613794,271434204.000,17051.000,-2.000
1679349613820,271454223.000,17051.000,3.000
1679349613835,271474243.000,17072.000,9.000
1679349613860,271494262.000,17072.000,17.000
1679349613874,271514282.000,17088.000,24.000
1679349613890,271534332.000,17088.000,31.000
1679349613905,271554351.000,17100.000,37.000
1679349613937,271574340.000,17100.000,43.000
1679349613952,271594360.000,17111.000,47.000
1679349613968,271614379.000,17111.000,51.000
1679349614000,271634399.000,17124.000,54.000
1679349614016,271654418.000,17124.000,57.000
1679349614041,271674438.000,17135.000,60.000
1679349614047,271694488.000,17135.000,62.000
1679349614079,271714477.000,17145.000,64.000
1679349614096,271734497.000,17145.000,65.000
1679349614111,271754516.000,17167.000,68.000
1679349614127,271774536.000,17167.000,71.000
1679349614159,271794555.000,17192.000,75.000
1679349614175,271814575.000,17192.000,81.000
1679349614192,271834594.000,17158.000,78.000
1679349614207,271854614.000,17158.000,70.000
1679349614238,271874633.000,17080.000,52.000
1679349614255,271894683.000,17080.000,27.000
1679349614270,271914703.000,17039.000,3.000
1679349614287,271934722.000,17039.000,-20.000
1679349614318,271954711.000,17040.000,-36.000
1679349614334,271974731.000,17040.000,-47.000
1679349614350,271994750.000,17045.000,-53.000
1679349614366,272014770.000,17045.000,-56.000
1679349614397,272034790.000,17046.000,-57.000
1679349614414,272054809.000,17046.000,-56.000
1679349614429,272074829.000,17062.000,-52.000
1679349614445,272094848.000,17062.000,-46.000
1679349614476,272114868.000,17063.000,-40.000
1679349614493,272134887.000,17063.000,-35.000
1679349614508,272154937.000,17067.000,-31.000
1679349614539,272174957.000,17067.000,-26.000
1679349614555,272194976.000,17057.000,-23.000
1679349614571,272214965.000,17057.000,-22.000
1679349614587,272234985.000,17071.000,-19.000
1679349614618,272255004.000,17071.000,-14.000
1679349614634,272275024.000,17093.000,-8.000
1679349614650,272295043.000,17093.000,0.000
1679349614681,272315063.000,17113.000,8.000
1679349614697,272335083.000,17113.000,17.000
1679349614713,272355102.000,17126.000,24.000
1679349614729,272375122.000,17126.000,31.000
1679349614760,272395141.000,17142.000,38.000
1679349614778,272415161.000,17142.000,44.000
1679349614793,272435180.000,17157.000,50.000
1679349614808,272455200.000,17157.000,55.000
1679349614840,272475219.000,17161.000,58.000
1679349614856,272495239.000,17161.000,60.000
1679349614872,272515258.000,17167.000,60.000
1679349614887,272535278.000,17167.000,60.000
1679349614920,272555328.000,17180.000,61.000
1679349614936,272575347.000,17180.000,62.000
1679349614951,272595336.000,17194.000,63.000
1679349614973,272615356.000,17194.000,65.000
1679349615000,272635375.000,17212.000,67.000
1679349615016,272655395.000,17212.000,70.000
1679349615030,272675415.000,17217.000,71.000
